,ms name,language,date,contents
327,ASOM 00038,Syriac,"1,482 CE","[""fol. 2v-185v Gregory bar 'Ebroyo, Book of Directions\nܟܬܒܐ ܕܗܘܕ̈ܝܐ"", 'ܟܬܒܐ ܕܗܘܕ̈ܝܐ']"
328,ASOM 00039,Syriac,"1,900 CE","['fol. 2v-280v Dionysius bar Ṣalībī, Commentary on the Old Testament\nTitle NS: ܦܘܫܩܐ ܕܕܝܬܝܩܝ ܥܬܝܩܬܐ', 'Title NS: ܦܘܫܩܐ ܕܕܝܬܝܩܝ ܥܬܝܩܬܐ']"
329,ASOM 00040,Syriac,"1,941 CE","['fol. 6r-159v, Eusebius of Caesarea, Theophania\nTitle NS: ܥܠ ܕܢܚܐ ܐܠܗܝܐ', 'Title NS: ܥܠ ܕܢܚܐ ܐܠܗܝܐ']"
330,ASOM 00041,Syriac,"1,921 CE","['fol. 5r-343v, Dionysius bar\xa0Ṣalībī, Commentary on the Old Testament']"
331,ASOM 00042,Syriac,"1,700 CE",['fol. 3r-168v Rituals for feast days']
332,ASOM 00043,Syriac,"1,893 CE","['fol. 2v-25v Gregory bar Hebraeus, Book of the pupils of the eyes\nTitle NS: ܟܬܒܐ ܕܒܒ̈ܬܐ', 'Title NS: ܟܬܒܐ ܕܒܒ̈ܬܐ', 'fol. 26v-58v Gregory bar Hebraeus, Conversation of Wisdom\nTitle NS: ܟܬܒܐ ܕܣܘܕ ܣܘܦܝܐ', 'Title NS: ܟܬܒܐ ܕܣܘܕ ܣܘܦܝܐ']"
333,ASOM 00044,Syriac,"1,800 CE","[""fol. 1v-36v, Gregory bar 'Ebroyo, Commentary on the Book of Hierotheos""]"
334,ASOM 00045,Syriac,"1,895 CE","['fol. 2v-76r\xa0Anṭūn\xa0of Tagrit, Rhetoric\nTitle NS: ܝܕܥܬܐ ܕܪܗܝܛܪܘܬܐ', 'Title NS: ܝܕܥܬܐ ܕܪܗܝܛܪܘܬܐ']"
335,ASOM 00046,Syriac,"1,921 CE","['fol. 1v-43r John of the Thebaid, Homilies\nAuthor NS: ܝܘܚܢܢ ܚܙܝܐ\nTitle NS: ܡܐܡܪ̈ܐ', 'Author NS: ܝܘܚܢܢ ܚܙܝܐ', 'Title NS: ܡܐܡܪ̈ܐ']"
336,ASOM 00047,Syriac,"1,895 CE","['fol. 2v-34r Moshe bar Kephā, Commentary on the Eucharist and on baptism\nTitle NS: ܦܘܫܩܐ ܕܩܘܪܒܐ ܘܕܡܥܡܘܕܝܬܐ', 'Title NS: ܦܘܫܩܐ ܕܩܘܪܒܐ ܘܕܡܥܡܘܕܝܬܐ']"
337,ASOM 00048,"Garshuni, Syriac","1,866 CE","['fol. 3v-107v Syriac verb paradigms\nTitle NS: ܣܘܪܥܦܐ', 'Title NS: ܣܘܪܥܦܐ', 'Notes:\xa0List of Muslim caliphs, calendar tables of festivals on back flyleaves']"
338,ASOM 00049,Syriac,"1,900 CE","['fol. 6r-43v\xa0Anṭūn of Tagrit, Rhetoric\nTitle NS: ܝܕܥܬܐ ܕܪܗܝܛܪܘܬܐ', 'Title NS: ܝܕܥܬܐ ܕܪܗܝܛܪܘܬܐ']"
339,ASOM 00050,"Garshuni, Syriac","1,910 CE","['fol. 3v-84r Anaphoras (Syriac Rite, Western)\nTitle NS: ܐܢܢܐܦܘܪܐܣ', 'Title NS: ܐܢܢܐܦܘܪܐܣ']"
340,ASOM 00051,Syriac,"1,600 CE","['fol. 1r-45r Rite of Ordination\nTitle NS: ܛܟܣܐ ܕܟܪܘܛܘܢܝܐ', 'Title NS: ܛܟܣܐ ܕܟܪܘܛܘܢܝܐ']"
341,ASOM 00052,Syriac,"1,904 CE","[""fol. 7v-126r Gregory bar 'Ebroyo, Memre""]"
342,ASOM 00053,Syriac,"1,907 CE","[""fol. 4r-180r Gregory bar 'Ebroyo, Ecclesiastical History\nTitle NS: ܟܬܒܐ ܕܐܩܠܣܝܣܛܝܩܝ"", 'Title NS: ܟܬܒܐ ܕܐܩܠܣܝܣܛܝܩܝ']"
343,ASOM 00054,Syriac,"1,915 CE","['fol. 4r-322v Anaphoras (Syriac Rite, Western)\nfol. 1r-3r, list of Anaphoras in the content of the manuscript', 'fol. 1r-3r, list of Anaphoras in the content of the manuscript']"
344,ASOM 00055,Syriac,"1,923 CE","['fol. 2r-140r Rituals for baptism, marriage, and burial\nTitle NS: ܛܟܣܐ ܕܥܡܕܐ ܘܕܟܠܝܠܐ ܘܕܥܘܦܝܐ', 'Title NS: ܛܟܣܐ ܕܥܡܕܐ ܘܕܟܠܝܠܐ ܘܕܥܘܦܝܐ']"
345,ASOM 00056,Syriac,"1,718 CE","['fol. 3v-195r,\xa0Jacob bar Shakkō, Book of treasures\nTitle NS: ܟܬܒܐ ܕܣܝ̈ܡܬܐ', 'Title NS: ܟܬܒܐ ܕܣܝ̈ܡܬܐ']"
346,ASOM 00057,Syriac,"1,700 CE","[""fol. 5r-286v Gregory bar 'Ebroyo, Storehouse of Mysteries\nTitle NS:\xa0ܟܬܒܐ ܕܐܘܨܪ ܐܪ̈ܙܐ\nUniform Title: Bar Hebraeus, 1226-1286. Horreum mysteriorum\nAlternate Title: Treasury of Mysteries"", 'Title NS:\xa0ܟܬܒܐ ܕܐܘܨܪ ܐܪ̈ܙܐ', 'Uniform Title: Bar Hebraeus, 1226-1286. Horreum mysteriorum', 'Alternate Title: Treasury of Mysteries']"
347,ASOM 00058,"Garshuni, Syriac","1,700 CE","['fol. 4r-5v, Pseudo-Callisthenes, Alexander Romance (Arabic Garshuni)', 'fol. 6r-75v Psalms', 'fol. 76r-85v Poem on the divine wisdom\nTitle NS: ܥܠ ܚܟܡܬܐ ܐܠܗܝܬܐ', 'Title NS: ܥܠ ܚܟܡܬܐ ܐܠܗܝܬܐ', 'fol. 86v-88v Memra on the Trinity', 'fol. 89v-92v Prayers\nIncludes prayers attributed to Ephrem of Nisibis and Jacob of Edessa', 'Includes prayers attributed to Ephrem of Nisibis and Jacob of Edessa', 'fol. 92v-96v Memre and Sogitha']"
348,ASOM 00059,Syriac,"1,924 CE","['fol. 3r-85v Isaac of Antioch, Memre']"
349,ASOM 00060,"Garshuni, Syriac","1,724 CE","['fol. 3v-30v Jacob of Edessa, Memra on Alexander the Great, Gog and Magog, and the end-times (Syriac)', 'fol. 31r-41r Ephrem of Nisibis, Memra on the end-times, Gog and Magog, and the Antichrist\xa0(Syriac)', 'fol. 41v-79r Burial Rite (Garshuni, Syriac)', 'fol. 79v-81v Lamentation for Gehenna\xa0(Syriac)', 'fol. 81v-100r Story of Mar Bassus\xa0(Syriac)', 'fol. 100r-131r Story of Mar Gabriel of Qartmin\xa0(Syriac)']"
350,ASOM 00061,Syriac,"1,889 CE","[""fol. 2v-119r Gregory bar 'Ebroyo, Metrical Grammar\nTitle NS: ܟܬܒܐ ܕܓܪܡܛܝܩܝ\nUniform Title:\xa0Bar Hebraeus, 1226-1286. Gramaṭiḳi bi-meshuḥta Afremayta"", 'Title NS: ܟܬܒܐ ܕܓܪܡܛܝܩܝ', 'Uniform Title:\xa0Bar Hebraeus, 1226-1286. Gramaṭiḳi bi-meshuḥta Afremayta']"
351,ASOM 00062,Syriac,"1,930 CE","['fol. 4r-59v Moshe bar Kephā, Commentary on the Eucharist and on Baptism\nTitle NS:\xa0ܢܘܗܪܐ ܕܐܪ̈ܙܐ ܩܕܝܫܐ ܘܕܡܥܡܘܕܝܬܐ', 'Title NS:\xa0ܢܘܗܪܐ ܕܐܪ̈ܙܐ ܩܕܝܫܐ ܘܕܡܥܡܘܕܝܬܐ', ""fol. 60r-66v Isho' bar Khayrun, Memra to priests and deacons\nTitle NS:\xa0ܡܐܡܪܐ ܙܘܗܪ̈ܐ ܘܦܘܩܕ̈ܢܐ ܠܩܫܝܫ̈ܐ ܘܡܫܡܫ̈ܢܐ"", 'Title NS:\xa0ܡܐܡܪܐ ܙܘܗܪ̈ܐ ܘܦܘܩܕ̈ܢܐ ܠܩܫܝܫ̈ܐ ܘܡܫܡܫ̈ܢܐ']"
352,ASOM 00063,"Garshuni, Syriac","1,662 CE","['fol. 2v-59v Marriage rite (Garshuni)', 'fol. 60r-99v Ignatius bar Wāhib, Patriarch of Mardin, Exposition of the Arabic Letters (Garshuni)', 'fol. 100r-144v\xa0Ḥudrō (Syriac Rite, Western)']"
353,ASOM 00064,Syriac,"1,644 CE","[""fol. 5r-199r Gregory bar 'Ebroyo, Book of Splendors\nTitle NS: ܟܬܒܐ ܕܨܡ̈ܚܐ"", 'Title NS: ܟܬܒܐ ܕܨܡ̈ܚܐ']"
354,ASOM 00065,Syriac,"1,923 CE","['fol. 3v-71v Severus of Antioch, Baptism ritual']"
355,ASOM 00066,Syriac,"1,727 CE","['fol. 1r-176v Anaphoras (Syriac Rite, Western)']"
356,ASOM 00067,Syriac,"1,700 CE","['fol. 1r-76v Anaphoras (Syriac Rite, Western)']"
357,ASOM 00068,Syriac,"1,792 CE","['fol. 1r-127r Anaphoras (Syriac Rite, Western)']"
358,ASOM 00069,Syriac,"1,851 CE","['fol. 1v-84v Psalms\xa0\nTitle NS: ܟܬܒܐ ܕܡܙܡܘܪ̈ܐ ܕܕܘܝܕ ܡܠܟܐ', 'Title NS: ܟܬܒܐ ܕܡܙܡܘܪ̈ܐ ܕܕܘܝܕ ܡܠܟܐ']"
359,ASOM 00070,Syriac,"1,900 CE","[""fol. 1r-35v Gregory bar 'Ebroyo, Ascent of the Mind\nTitle NS: ܣܘܠܩܐ ܗܘܢܢܝܐ"", 'Title NS: ܣܘܠܩܐ ܗܘܢܢܝܐ']"
360,ASOM 00071,"Garshuni, Syriac","1,800 CE","['fol. 1r-115r Psalms\xa0\nParallel columns in Syriac and Arabic Garshuni', 'Parallel columns in Syriac and Arabic Garshuni']"
361,ASOM 00072,Syriac,"1,588 CE","['fol. 1r-203v Anaphoras (Syriac Rite, Western)']"
362,ASOM 00073,"Garshuni, Syriac","1,700 CE","['fol. 1v-184v Burial Rite\nTitle NS: ܛܟܣܐ ܕܥܘܦܝܐ ܕܥܢܝ̈ܕܐ', 'Title NS: ܛܟܣܐ ܕܥܘܦܝܐ ܕܥܢܝ̈ܕܐ']"
363,ASOM 00074,"Garshuni, Syriac","1,890 CE","['fol. 2v-73v Selected Memrē\nTitle NS: ܡܐܡܪ̈ܐ ܡܓܒܝ̈ܐ\nA Memra in the meter of Mar Jacob <of Sarug>\nJacob of Sarug, On the chariot which Ezekiel saw\nIsaac of Nineveh, Memra in the meter of Mar Ephrem\nIsaac of Nineveh, On Silence and Stillness, and on Love\nIsaac the Teacher <of Antioch>, On the Perfection of the Brethren\nIsaac the Teacher <of Antioch>, On solitaries and guides and the humble and the Nazirites and the poor and the mourners and the aliens \xa0and the perfect and those like them\nIsaac the Teacher <of Antioch>, On the Perfection of the Brethren\nIsaac the Teacher <of Antioch>,\xa0On the natural division of natural thought\nEphrem Syrus, Demonstration on Paradise\nMar Jacob, Memra on the moment of the departure of good and bad people, how each receives his repayment and his labor\nMoshe bar Kepha, Examination about the resurrection of the body', 'Title NS: ܡܐܡܪ̈ܐ ܡܓܒܝ̈ܐ', 'A Memra in the meter of Mar Jacob <of Sarug>', 'Jacob of Sarug, On the chariot which Ezekiel saw', 'Isaac of Nineveh, Memra in the meter of Mar Ephrem', 'Isaac of Nineveh, On Silence and Stillness, and on Love', 'Isaac the Teacher <of Antioch>, On the Perfection of the Brethren', 'Isaac the Teacher <of Antioch>, On solitaries and guides and the humble and the Nazirites and the poor and the mourners and the aliens \xa0and the perfect and those like them', 'Isaac the Teacher <of Antioch>, On the Perfection of the Brethren', 'Isaac the Teacher <of Antioch>,\xa0On the natural division of natural thought', 'Ephrem Syrus, Demonstration on Paradise', 'Mar Jacob, Memra on the moment of the departure of good and bad people, how each receives his repayment and his labor', 'Moshe bar Kepha, Examination about the resurrection of the body']"
364,ASOM 00075,Syriac,"1,900 CE","['fol. 2v-41r Ignatius bar Wāhib, Dimensions of church prayers\nTitle NS: ܬܚܘܡܐ ܕܨܠܘ̈ܬܐ ܥܕܬܢ̈ܝܬܐ', 'Title NS: ܬܚܘܡܐ ܕܨܠܘ̈ܬܐ ܥܕܬܢ̈ܝܬܐ']"
365,ASOM 00076,Syriac,"1,918 CE",['fol. 2r-107v Lives of Mar Mattai and Bar Hebraeus']
366,ASOM 00077,"Garshuni, Syriac","1,859 CE","[""fol. 3v-167r Gregory bar 'Ebroyo, Metrical Grammar\nTitle NS: ܟܬܒܐ ܕܓܪܡܛܝܩܝ"", 'Title NS: ܟܬܒܐ ܕܓܪܡܛܝܩܝ']"
367,ASOM 00078,Syriac,"1,727 CE","['fol. 1r-130v Anaphoras (Syriac Rite, Western)']"
368,ASOM 00079,"Garshuni, Syriac","1,881 CE","['fol. 4r-128r Anaphoras (Syriac Rite, Western)']"
369,ASOM 00080,"Garshuni, Syriac","1,788 CE","['fol. 10v-174r Anaphoras and ordination rites (Syriac Rite, Western)\nTitle NS: ܟܬܒܐ ܕܐܢܢܐܦܘܪ̈ܐܣ ܘܕܟܝܪ̈ܘܛܘܢܝܐܣ', 'Title NS: ܟܬܒܐ ܕܐܢܢܐܦܘܪ̈ܐܣ ܘܕܟܝܪ̈ܘܛܘܢܝܐܣ']"
370,ASOM 00081,Syriac,"1,900 CE","[""fol. 4r-66r 'Abdisho' bar Brīkā, Paradise of Eden, book 2\nTitle NS: ܦܪܕܝܣܐ ܕܥܕܝܢ"", 'Title NS: ܦܪܕܝܣܐ ܕܥܕܝܢ']"
371,ASOM 00082,Syriac,"1,700 CE","['fol. 4r-66r Timothy Isaac, Metropolitan of Amid, Illumination of beginners\nTitle NS: ܟܬܒܐ ܕܢܘܗܪ ܫܪ̈ܘܝܐ', 'Title NS: ܟܬܒܐ ܕܢܘܗܪ ܫܪ̈ܘܝܐ']"
372,ASOM 00083,Syriac,"1,900 CE","['fol. 4v-44r Ignatius bar Wāhib, Patriarch of Mardin, Exposition of the Syriac Alphabet\nTitle NS: ܦܘܫܩܐ ܕܐܬܘ̈ܬܐ ܣܘܪ̈ܝܝܬܐ ܡܢ ܐܠܦ ܘܥܕܡܐ ܠܬܐܘ', 'Title NS: ܦܘܫܩܐ ܕܐܬܘ̈ܬܐ ܣܘܪ̈ܝܝܬܐ ܡܢ ܐܠܦ ܘܥܕܡܐ ܠܬܐܘ']"
373,ASOM 00084,"Garshuni, Syriac","1,700 CE","['fol. 4v-155v Timothy Isaac, Metropolitan of Amid, Illumination of Beginners\nTitle NS: ܟܬܒܐ ܕܢܘܗܪ ܫܪ̈ܘܝܐ', 'Title NS: ܟܬܒܐ ܕܢܘܗܪ ܫܪ̈ܘܝܐ', 'fol. 168v-174r Homilies\nTitle NS: ܬܪܓܐܡ', 'Title NS: ܬܪܓܐܡ']"
374,ASOM 00085,"Garshuni, Syriac","1,700 CE","['f. 4r-15v Theological questions and answers (Syriac)', ""f. 16r-32r Gregory bar 'Ebroyo, Mēmrē (Syriac)"", ""f. 32v-144v Gregory bar 'Ebroyo, Cream of Wisdom (Garshuni; Syriac)\nTitle NS: ܚܐܘܬ ܚܟܡ̈ܬܐ"", 'Title NS: ܚܐܘܬ ܚܟܡ̈ܬܐ', 'f. 149v-193v Treatise on the liturgical calendar, astronomy, and geography (Garshuni)']"
375,ASOM 00086,Syriac,"1,803 CE","['fol. 6r-117r Anaphoras (Syriac Rite, Western; Syriac)', 'fol. 117v-137r Vigil for Virgin Mary (Garshuni)', ""fol. 137v-152r Gregory bar 'Ebroyo, Baptism Ritual (Garshuni, Syriac)\nTitle NS: ܛܟܣ ܐܠܥܡܐܕ"", 'Title NS: ܛܟܣ ܐܠܥܡܐܕ', 'fol. 152v-193v Book of the Candle (Syriac)\nTitle NS: ܟܬܒܐ ܕܩܢܕܝܠܐ', 'Title NS: ܟܬܒܐ ܕܩܢܕܝܠܐ']"
376,ASOM 00087,Syriac,"1,900 CE","['fol. 10r-52r Apostolic Constitutions\nTitle NS: ܩܢܘܢܐ ܕܐܩܠܝܡܝܣ', 'Title NS: ܩܢܘܢܐ ܕܐܩܠܝܡܝܣ']"
377,ASOM 00088,"Garshuni, Syriac","1,924 CE","['fol. 1r-33r Anaphoras (Syriac Rite, Western)\nܐܢܢܐܦܘܪ̈ܐܣ', 'ܐܢܢܐܦܘܪ̈ܐܣ']"
378,ASOM 00089,"Garshuni, Syriac","1,889 CE","[""fol. 1r-65v Gregory bar 'Ebroyo, Conversation of wisdom\nTitle NS: ܟܬܒܐ ܕܣܘܕ ܣܘܦܝܐ"", 'Title NS: ܟܬܒܐ ܕܣܘܕ ܣܘܦܝܐ']"
379,ASOM 00090,Syriac,"1,800 CE",['fol. 1r-96v New Testament lectionary']
380,ASOM 00091,Syriac,"1,910 CE","['fol. 3v-304r Jacob bar Shakkō, Book of Dialogues, book 1.']"
381,ASOM 00092,Syriac,"1,900 CE","['fol. 3v-53v Ecclesiasticus', 'fol. 53v-104v 1 Maccabees', 'fol. 104v-149v 2 Maccabees', 'fol. 149v-169v 3 Maccabees', 'fol. 169v-199v Memra on Shmuni and her seven martyred sons', 'fol. 200r-228r 1 Esdras', 'fol. 228r-244v Tobit']"
382,ASOM 00093,Syriac,"1,715 CE","['fol. 1v-157r\xa0Šḥīmō\xa0(Syriac Rite, Western)']"
383,ASOM 00094,Syriac,"1,911 CE","['fol. 3r-35v Philoxenus of Mabbug, Letters on the Ascetic Life\nTitle NS: ܐܓܪ̈ܬܐ ܡܛܠ ܥܢܘܝܘܬܐ', 'Title NS: ܐܓܪ̈ܬܐ ܡܛܠ ܥܢܘܝܘܬܐ', 'fol. 36r-42r Abraham of Nathpar, Teaching on steadfastness', 'fol. 42v-49v Rules for candidates for monastic life', 'fol. 49v-75r Sayings of the church fathers on the ascetic life', 'fol. 75v-77r Ephrem of Nisibis, Petitionary Prayers']"
384,ASOM 00095,Syriac,"1,911 CE","['Part 1\nfol. 1v-21r Ignatius II, Maphrian of the east, Ascent of the Mind\nfol. 21v-23v On the Eucharist\nfol. 24r-29v Creeds of the Orthodox Church Fathers\nfol. 30v-45r Life of Mar Benjamin', 'fol. 1v-21r Ignatius II, Maphrian of the east, Ascent of the Mind', 'fol. 21v-23v On the Eucharist', 'fol. 24r-29v Creeds of the Orthodox Church Fathers', 'fol. 30v-45r Life of Mar Benjamin', 'Part 2\nLife of Mar Jacob of Edessa', 'Life of Mar Jacob of Edessa', 'Part 3\nMemre (Includes memre by Ignatius Marcus bar Qiqi and Ephrem of Nisibis)', 'Memre (Includes memre by Ignatius Marcus bar Qiqi and Ephrem of Nisibis)', 'Part 4\nLife of Philoxenus of Mabbug', 'Life of Philoxenus of Mabbug']"
385,ASOM 00096,Syriac,"1,653 CE","['fol. 2v-138v\n1 Kings\xa0\n1-2 Chronicles', '1 Kings', '1-2 Chronicles']"
386,ASOM 00097,Syriac,"1,600 CE","['fol. 1r-50v Rules and admonitions for monks and ascetics', 'fol. 50v-80r John of the Thebaid, Rules and instructions for spiritual life', 'fol. 80r-104v Prayers of the seven hours\nTitle NS: ܨܠܘ̈ܬܐ ܕܫ̈ܒܥܐ ܥܕ̈ܢܐ', 'Title NS: ܨܠܘ̈ܬܐ ܕܫ̈ܒܥܐ ܥܕ̈ܢܐ', 'fol. 105r-120v Catholic Epistles\nEpistle of James\xa0\nEpistle of\xa0Peter\nEpistle of\xa0John', 'Epistle of James', 'Epistle of\xa0Peter', 'Epistle of\xa0John', ""fol. 121r-134v Mas'ūd (Abba), Spiritual Instructions"", 'fol. 135r-144v Isaac of Antioch, Memrē', 'fol. 144v-176r Macarius the Egyptian, Exhortations to candidates for the Monastic Life']"
387,ASOM 00098,Syriac,"1,687 CE","['fol. 2v-141r Canonical hours for feast days\nܒܝܬ ܓܙ̈ܐ', 'ܒܝܬ ܓܙ̈ܐ']"
388,ASOM 00099,Syriac,"1,778 CE","[""fol. 1v-102v Gregory bar 'Ebroyo, Metrical Grammar\nTitle NS: ܡܥܠܬܐ ܕܢܟܝܚܐ ܠܓܪܡܛܝܩܝ"", 'Title NS: ܡܥܠܬܐ ܕܢܟܝܚܐ ܠܓܪܡܛܝܩܝ']"
389,ASOM 00100,Syriac,"1,700 CE","[""fol. 5v-234r Gregory bar 'Ebrōyō, Ethicon\nTitle NS:\xa0ܟܬܒܐ ܕܐܝܬܝܩܘܢ"", 'Title NS:\xa0ܟܬܒܐ ܕܐܝܬܝܩܘܢ']"
390,ASOM 00101,Syriac,"1,931 CE","['fol. 4v-48r Sayings and lives of church fathers\nTitle NS: ܡܪܬܝܢܘܬܐ ܫܦܝܪܬܐ', 'Title NS: ܡܪܬܝܢܘܬܐ ܫܦܝܪܬܐ', 'fol. 50r-61v Rites of penance, healing of the sick, and blessing of water']"
391,ASOM 00102,Syriac,"1,489 CE","['fol. 6r 95v Canonical hours for feast days\nTitle NS: ܒܝܬ ܓܙܐ', 'Title NS: ܒܝܬ ܓܙܐ']"
392,ASOM 00103,Syriac,"1,892 CE","['fol. 11v-163r Canonical hours for feast days\nTitle NS: ܒܝܬ ܓܙܐ', 'Title NS: ܒܝܬ ܓܙܐ']"
393,ASOM 00104,Syriac,"1,600 CE","['fol. 1r-243v Canonical hours for feast days\nTitle NS: ܒܝܬ ܓܙܐ', 'Title NS: ܒܝܬ ܓܙܐ']"
394,ASOM 00105,"Garshuni, Syriac","1,715 CE",['fol. 2v-135v Syriac-Garshuni Lexicon']
395,ASOM 00106,"Garshuni, Syriac","1,781 CE","['fol. 1v-75r Memre\nIncludes memre by Ephrem of Nisibis and Isaac of Antioch', 'Includes memre by Ephrem of Nisibis and Isaac of Antioch', 'fol. 76r-99r Commentary on Revelation', 'fol. 99r-106r Isaac of Antioch, Memra on the love of learning', 'fol. 106v-135v On the sacrament of penance and reconciliation\nTitle NS: ܣܪ ܐܠܬܘܒܗ̈', 'Title NS: ܣܪ ܐܠܬܘܒܗ̈']"
396,ASOM 00107,Syriac,"1,700 CE","['fol. 7v-135 Timothy Isaac, Metropolitan of Amid, Illumination of beginners\nTItle NS: ܟܬܒܐ ܕܢܘܗܪ ܫܪ̈ܘܝܐ', 'TItle NS: ܟܬܒܐ ܕܢܘܗܪ ܫܪ̈ܘܝܐ']"
397,ASOM 00108,Syriac,"1,700 CE",['fol. 1r-133v Psalms']
398,ASOM 00109,Syriac,"1,906 CE",['fol. 3r-40v Memre']
399,ASOM 00110,Syriac,"1,800 CE",['fol. 1r-105v Psalms']
400,ASOM 00111,"Arabic, Garshuni, Syriac, Turkish","1,800 CE","[""Homily on Christ's baptism (Garshuni)"", 'Homily on the salvific act of Christ (Arabic)', 'Commentary on the New Testament (Arabic, Garshuni, Syriac)', 'Christologies of the Chalcedonian and non-Chalcedonian churches (Garshuni)']"
401,ASOM 00112,Syriac,"1,517 CE","['fol. 1r-127v Prayers for monks\nܨܠܘܬܐ ܕܝܪܝܐ', 'ܨܠܘܬܐ ܕܝܪܝܐ']"
402,ASOM 00113,Syriac,"1,827 CE","['fol. 1r-80r Prayers against demonic influence and for healing\nTitle NS: ܨܠܘ̈ܬܐ', 'Title NS: ܨܠܘ̈ܬܐ']"
403,ASOM 00114,Garshuni,"1,900 CE","['fol. 1v-12v\xa0Basileios Behnam IV, Maphrian of Mosul, Homily on the ignorance of sinners\nTitle NS: ܡܘܥܛܗ̈ ܦܝ ܓܗܠ ܐܠܟܛܐܗ̈', 'Title NS: ܡܘܥܛܗ̈ ܦܝ ܓܗܠ ܐܠܟܛܐܗ̈']"
404,ASOM 00116,"Arabic, Garshuni","1,894 CE",['fol. 1r-10v History of the Syrian Orthodox Church']
405,ASOM 00117,"Garshuni, Syriac","1,730 CE","['fol. 1v-140r Psalms\nTitle NS: ܡܙܡܘܪ̈ܐ ܕܕܘܝܕ\nParallel columns in Syriac and Arabic Garshuni\nNote: Includes also Psalm 151', 'Title NS: ܡܙܡܘܪ̈ܐ ܕܕܘܝܕ', 'Parallel columns in Syriac and Arabic Garshuni', 'Note: Includes also Psalm 151', 'fol. 140v-142r Odes\nMoses and the song of the Red Sea\nIsaiah the prophet\nHannah the prophetess [Mother of Samuel]\nJonah the Prophet\n[Mary] the God-bearer', 'Moses and the song of the Red Sea', 'Isaiah the prophet', 'Hannah the prophetess [Mother of Samuel]', 'Jonah the Prophet', '[Mary] the God-bearer', 'fol. 142v-143r Nicene Creed', 'fol. 143r-v The praise of the angel\xa0(Gloria in excelsis) and other liturgical prayers', 'fol. 143v Trisagion', ""fol. 143v The Lord's Prayer"", 'fol. 143v-145r Ephrem of Nisibis, Memra on doctrine\nTitle NS: ܬܘܒ ܡܐܡܪܐ ܕܩ̄ܕ ܡܪܝ ܐܦܪܝܡ ܕܥܠ ܝܘܠܦܢܐ', 'Title NS: ܬܘܒ ܡܐܡܪܐ ܕܩ̄ܕ ܡܪܝ ܐܦܪܝܡ ܕܥܠ ܝܘܠܦܢܐ']"
406,ASOM 00118,Garshuni,"1,800 CE","['fol. 1v-129r Gregory of Nyssa, Mental Paradise\nTitle NS: ܐܠܦܪܕܘܣ ܐܠܥܩܠܝ', 'Title NS: ܐܠܦܪܕܘܣ ܐܠܥܩܠܝ']"
407,ASPSTCH THRI 00014,Syriac,"1,800 CE","['fol. 1v-348v Joseph II, Gazzā', 'fol. 349v-364r Taksā (Chaldean Rite)']"
408,Beinecke Syriac MS 10,Syriac,"1,200 CE","['Works of Moshe bar Kepha\npp. 1-124 On Paradise\npp. 1-97 First part\npp. 97-108 Second part\npp. 108-24 Third part\n\npp. 124-186 On Resurrection\npp. 186-205 Exegesis on Sayings of Paul on the Resurrection\npp. 205-209 Words of Comfort\npp. 209-218 On the Trinity\npp. 218-224 Symbolism of the Shaving of the Monks', 'pp. 1-124 On Paradise\npp. 1-97 First part\npp. 97-108 Second part\npp. 108-24 Third part', 'pp. 1-97 First part', 'pp. 97-108 Second part', 'pp. 108-24 Third part', 'pp. 124-186 On Resurrection', 'pp. 186-205 Exegesis on Sayings of Paul on the Resurrection', 'pp. 205-209 Words of Comfort', 'pp. 209-218 On the Trinity', 'pp. 218-224 Symbolism of the Shaving of the Monks', 'Appendices\npp. 224-225 Biographical Notes Pertaining to Moses\npp. 225-end Pseudo-Methodius of Patara,\xa0On the End of Times', 'pp. 224-225 Biographical Notes Pertaining to Moses', 'pp. 225-end Pseudo-Methodius of Patara,\xa0On the End of Times']"
409,Beinecke Syriac MS 11,Syriac,"1,700 CE","[""f. 1-291 Barhebraeus [Bar 'Ebroyo],\xa0Ktābā d-Huddāyē\xa0(Book of Guidances)"", 'f. 291-303 Appendix: Laws on inheritance (according to Islam) and the Manumission of Slaves']"
410,Beinecke Syriac MS 13,Syriac,"1,687 CE","['On the Matter of Faith', 'Interpretation of the Eucharist']"
411,Beinecke Syriac MS 5,Syriac,"1,888 CE","['History of Ss. Matthew and Andrew the Apostles', 'History of St. Abba Marcus of Mount Tharmaka', 'History of St. Cyriacus and Julitta']"
412,Beinecke Syriac MS 7,Syriac,Unknown,"['Barhebraeus,\xa0Ktābā da-Mnārat Qudšē\xa0(Book of the Lamp of Holiness)', 'Appendix: Three short works including a Sugitha by Jacob of Sarug']"
413,Beinecke Syriac MS 8,Syriac,"1,225 CE","['f. 1r Pauline Epistles (fragment)', 'f. 1v-2v Questions by Queen Sheba to King Solomon', 'f. 3ra-4va Philoxenus of Mabbug, Letter to Patrikios of Edessa', 'f. 4vb Sayings, 2 by ? (Philoxenus?), 4 by Evagrius, 1 by Abba Isaiah', 'f. 4vb-7vb Philoxenus of Mabbug, Confessions of Faith', 'f. 7vb-9ra John of Lycopolis (or of Amapea), also the solitary, or ""seer, and prophet"", The Holy Commandments of the Gospel', 'f. 9ra-29va Commandments (from the gospels, the Pauline and Catholic Epistles, and the prophets', 'f. 29va-end\xa0anonymous, about the Sacraments']"
